symptoms,urgency
"chest pain, shortness of breath, excessive sweating, nausea, dizziness, palpitations, chest tightness, jaw pain",critical
"sudden confusion, numbness, loss of coordination, severe headache, dizziness, vision changes, slurred speech, facial drooping",critical
"chest pain, shortness of breath, fatigue, dizziness, palpitations, fainting, rapid heartbeat, leg swelling",critical
"high fever, severe headache, stiff neck, light sensitivity, confusion, nausea, vomiting, seizures, rash",critical
"shortness of breath, rash, swelling, dizziness, wheezing, chest tightness, itching, palpitations, throat swelling, hives",critical
"high fever, shortness of breath, fatigue, nausea, vomiting, dizziness, muscle pain, chills, palpitations, confusion, excessive sweating, low blood pressure, extreme fatigue",critical
"fatigue, nausea, abdominal pain, vomiting, dizziness, confusion, excessive thirst, frequent urination, fruity breath, loss of appetite, rapid breathing",critical
"severe shortness of breath, wheezing, chest tightness, cough, chest pain, palpitations, confusion, blue lips, inability to speak full sentences",critical
"prolonged seizures, loss of consciousness, confusion, tongue biting, involuntary movements, incontinence, cyanosis",critical
"sudden severe chest pain, severe back pain, shortness of breath, fainting, excessive sweating, weak pulse, tearing sensation",critical
"chest pain, loss of consciousness, shortness of breath, no pulse, gasping, unresponsive, cyanosis",critical
"severe abdominal pain, dizziness, fainting, low blood pressure, extreme fatigue, confusion, rapid heartbeat, pale skin, vomiting blood",critical
"sudden chest pain, shortness of breath, chest tightness, rapid heartbeat, cyanosis, deviated trachea, absent breath sounds",critical
"severe shortness of breath, chest tightness, confusion, rapid breathing, cyanosis, low oxygen, fever, bilateral crackles",critical
"sudden severe headache, chest pain, shortness of breath, vision changes, confusion, nosebleed, seizures, extremely high blood pressure",critical
"crushing chest pain, left arm pain, shortness of breath, profuse sweating, nausea, feeling of impending doom",critical
"sudden severe headache, worst headache of life, stiff neck, vomiting, confusion, loss of consciousness",critical
"chest pain, shortness of breath, coughing blood, rapid heartbeat, sudden onset, leg pain, swelling",critical
"high fever, confusion, rapid heartbeat, low blood pressure, rapid breathing, extreme fatigue, skin mottling",critical
"severe allergic reaction, throat closing, difficulty breathing, widespread hives, dizziness, rapid pulse, tongue swelling",critical
"sudden weakness one side, slurred speech, vision loss, severe headache, confusion, difficulty walking, face drooping",critical
"severe chest pain, tearing sensation radiating to back, shortness of breath, loss of consciousness, weak pulse",critical
"unresponsive, not breathing, no pulse, blue skin, gasping, cardiac arrest",critical
"severe shortness of breath, chest pain, confusion, rapid shallow breathing, low oxygen saturation, blue fingertips",critical
"seizures lasting more than five minutes, loss of consciousness, tongue injury, involuntary movements, confusion after seizure",critical
"severe abdominal pain, rigid abdomen, vomiting blood, dizziness, rapid heartbeat, low blood pressure, cold clammy skin",critical
"sudden complete loss of vision, severe headache, nausea, confusion, high blood pressure, seizures",critical
"severe burns, difficulty breathing, confusion, rapid heartbeat, severe pain, blistering, shock symptoms",critical
"stab wound, heavy bleeding, shortness of breath, dizziness, loss of consciousness, rapid pulse, pale skin",critical
"severe head injury, loss of consciousness, confusion, vomiting, unequal pupils, seizures, clear fluid from nose",critical
